#############################################
##     Armor - Chainmail                   ##
#############################################
Item
	ItemType = Armor
	Name = "Helmet"
	Material = "Chainmail"
	MIcon = "Armor\Chainmail\M\Helmet.dds"
	FIcon = "Armor\Chainmail\F\Helmet.dds"
	MBModel = "Armor\Chainmail\M\Helmet.NIF"
	MWModel = "Armor\Chainmail\M\Helmet_gnd.NIF"
	FBModel = "Armor\Chainmail\F\Helmet.NIF"
	FWModel = "Armor\Chainmail\M\Helmet_gnd.NIF"
	BasePrice = 25
	ItemLevel = 2
	MinEffectLevel = 1
	MaxEffectLevel = 25
	Weight = 1.8
	Armor = 300
	ArmorType = "Light"
	Health = 135
	BipedParts = Hair
	CustomType = "L Helmet"
End
Item
	ItemType = Armor
	Name = "Cuirass"
	Material = "Chainmail"
	MIcon = "Armor\Chainmail\M\Cuirass.dds"
	FIcon = "Armor\Chainmail\F\Cuirass.dds"
	MBModel = "Armor\Chainmail\M\Cuirass.NIF"
	MWModel = "Armor\Chainmail\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Chainmail\F\Cuirass.NIF"
	FWModel = "Armor\Chainmail\F\Cuirass_gnd.NIF"
	BasePrice = 90
	ItemLevel = 4
	MinEffectLevel = 1
	MaxEffectLevel = 25
	Weight = 9
	Armor = 800
	ArmorType = "Light"
	Health = 270
	BipedParts = Upper Body
	CustomType = "L Cuirass"
End
Item
	ItemType = Armor
	Name = "Gauntlets"
	Material = "Chainmail"
	MIcon = "Armor\Chainmail\M\Gauntlets.dds"
	MBModel = "Armor\Chainmail\M\Gauntlets.NIF"
	MWModel = "Armor\Chainmail\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Chainmail\F\Gauntlets.NIF"
	BasePrice = 25
	ItemLevel = 2
	MinEffectLevel = 1
	MaxEffectLevel = 25
	Weight = 1.8
	Armor = 300
	ArmorType = "Light"
	Health = 135
	BipedParts = Hand
	CustomType = "L Gauntlets"
End
Item
	ItemType = Armor
	Name = "Greaves"
	Material = "Chainmail"
	MIcon = "Armor\Chainmail\M\Greaves.dds"
	MBModel = "Armor\Chainmail\M\Greaves.NIF"
	MWModel = "Armor\Chainmail\M\Greaves_gnd.NIF"
	FBModel = "Armor\Chainmail\F\Greaves.NIF"
	BasePrice = 45
	ItemLevel = 3
	MinEffectLevel = 1
	MaxEffectLevel = 25
	Weight = 5.4
	Armor = 400
	ArmorType = "Light"
	Health = 202
	BipedParts = Lower Body
	CustomType = "L Greaves"
End
Item
	ItemType = Armor
	Name = "Boots"
	Material = "Chainmail"
	MIcon = "Armor\Chainmail\M\Boots.dds"
	MBModel = "Armor\Chainmail\M\Boots.NIF"
	MWModel = "Armor\Chainmail\M\Boots_gnd.NIF"
	FBModel = "Armor\Chainmail\F\Boots.NIF"
	BasePrice = 25
	ItemLevel = 2
	MinEffectLevel = 1
	MaxEffectLevel = 25
	Weight = 2
	Armor = 300
	ArmorType = "Light"
	Health = 135
	BipedParts = Foot
	CustomType = "L Boots"
End



#############################################
##     Armor - Daedric                     ##
#############################################
Item
	ItemType = Armor
	Name = "Helmet"
	Material = "Daedric"
	MIcon = "Armor\Daedric\M\Helmet.dds"
	FIcon = "Armor\Daedric\F\Helmet.dds"
	MBModel = "Armor\Daedric\M\Helmet.NIF"
	MWModel = "Armor\Daedric\M\Helmet_gnd.NIF"
	FBModel = "Armor\Daedric\F\Helmet.NIF"
	FWModel = "Armor\Daedric\F\Helmet_gnd.NIF"
	BasePrice = 1350
	ItemLevel = 18
	MinEffectLevel = 10
	MaxEffectLevel = 50
	Weight = 12
	Armor = 750
	ArmorType = "Heavy"
	Health = 1350
	BipedParts = Head | Hair
	CustomType = "H Helmet"
End
Item
	ItemType = Armor
	Name = "Cuirass"
	Material = "Daedric"
	MIcon = "Armor\Daedric\M\Cuirass.dds"
	FIcon = "Armor\Daedric\F\Cuirass.dds"
	MBModel = "Armor\Daedric\M\Cuirass.NIF"
	MWModel = "Armor\Daedric\M\Cuirass_gnd.NIF"
