#############################################
##     Clothing - Hoods (Hair)             ##
#############################################
Item
	ItemType = Clothing
	Name = "Hood"
	Material = "Silk"
	MIcon = "Clothes\RobeUC01\hood.dds"
	MBModel = "Clothes\RobeUC01\hood.NIF"
	MWModel = "Clothes\RobeUC01\hood_gnd.NIF"
	FIcon = "Clothes\RobeUC01\hood.dds"
	FBModel = "Clothes\RobeUC01\hood.NIF"
	FWModel = "Clothes\RobeUC01\hood_gnd.NIF"
	BasePrice = 8
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 4
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	Material = "Silk"
	MIcon = "Clothes\RobeUC02\hood.dds"
	MBModel = "Clothes\RobeUC02\hood.NIF"
	MWModel = "Clothes\RobeUC02\hood_gnd.NIF"
	FIcon = "Clothes\RobeUC02\hood.dds"
	FBModel = "Clothes\RobeUC02\hood.NIF"
	FWModel = "Clothes\RobeUC02\hood_gnd.NIF"
	BasePrice = 8
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 4
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeLC01\hood.dds"
	MBModel = "Clothes\RobeLC01\hood.NIF"
	MWModel = "Clothes\RobeLC01\hood_gnd.NIF"
	FIcon = "Clothes\RobeLC01\hood.dds"
	FBModel = "Clothes\RobeLC01\hood.NIF"
	FWModel = "Clothes\RobeLC01\hood_gnd.NIF"
	BasePrice = 1
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 2
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeLC02\hood.dds"
	MBModel = "Clothes\RobeLC02\hood.NIF"
	MWModel = "Clothes\RobeLC02\hood_gnd.NIF"
	FIcon = "Clothes\RobeLC02\hood.dds"
	FBModel = "Clothes\RobeLC02\hood.NIF"
	FWModel = "Clothes\RobeLC02\hood_gnd.NIF"
	BasePrice = 1
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 2
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeLC03\hood.dds"
	MBModel = "Clothes\RobeLC03\hood.NIF"
	MWModel = "Clothes\RobeLC03\hood_gnd.NIF"
	FIcon = "Clothes\RobeLC03\hood.dds"
	FBModel = "Clothes\RobeLC03\hood.NIF"
	FWModel = "Clothes\RobeLC03\hood_gnd.NIF"
	BasePrice = 1
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 2
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeLCGrey\hood.dds"
	MBModel = "Clothes\RobeLCGrey\Hood.NIF"
	MWModel = "Clothes\RobeLCGrey\hood_gnd.NIF"
	FIcon = "Clothes\RobeLCGrey\hood.dds"
	FBModel = "Clothes\RobeLCGrey\Hood.NIF"
	FWModel = "Clothes\RobeLCGrey\hood_gnd.NIF"
	BasePrice = 5
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 3
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeMCBlack\hood.dds"
	FIcon = "Clothes\RobeMCBlack\hood.dds"
	MBModel = "Clothes\RobeMCBlack\Hood.NIF"
	MWModel = "Clothes\RobeMCBlack\hood_gnd.NIF"
	FBModel = "Clothes\RobeMCBlack\Hood.NIF"
	FWModel = "Clothes\RobeMCBlack\hood_gnd.NIF"
	BasePrice = 10
	ItemLevel = 10
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeMage\hood.dds"
	MBModel = "Clothes\RobeMage\Hood.NIF"
	MWModel = "Clothes\RobeMage\hood_gnd.NIF"
	FIcon = "Clothes\RobeMage\hood.dds"
	FBModel = "Clothes\RobeMage\Hood.NIF"
	FWModel = "Clothes\RobeMage\hood_gnd.NIF"
	BasePrice = 10
	ItemLevel = 10
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeMageArch\hood.dds"
	MBModel = "Clothes\RobeMageArch\Hood.NIF"
	MWModel = "Clothes\RobeMageArch\hood_gnd.NIF"
	FIcon = "Clothes\RobeMageArch\hood.dds"
	FBModel = "Clothes\RobeMageArch\Hood.NIF"
	FWModel = "Clothes\RobeMageArch\hood_gnd.NIF"
	BasePrice = 25
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeKingWorm\hood.dds"
	MBModel = "Clothes\RobeKingWorm\Hood.NIF"
	MWModel = "Clothes\RobeKingWorm\hood_gnd.NIF"
	FIcon = "Clothes\RobeKingWorm\hood.dds"
	FBModel = "Clothes\RobeKingWorm\Hood.NIF"
	FWModel = "Clothes\RobeKingWorm\hood_gnd.NIF"
	BasePrice = 50
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 4
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\RobeNecromancer\hood.dds"
	MBModel = "Clothes\RobeNecromancer\Hood.NIF"
	MWModel = "Clothes\RobeNecromancer\hood_gnd.NIF"
	FIcon = "Clothes\RobeNecromancer\hood.dds"
	FBModel = "Clothes\RobeNecromancer\Hood.NIF"
	FWModel = "Clothes\RobeNecromancer\hood_gnd.NIF"
	BasePrice = 20
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 4
	BipedParts = Hair
	CustomType = "Hood"
End
Item
	ItemType = Clothing
	Name = "Hood"
	MIcon = "Clothes\MythicDawnrobe\hood.dds"
	MBModel = "Clothes\MythicDawnrobe\Hood.NIF"
	MWModel = "Clothes\MythicDawnrobe\hood_gnd.NIF"
	FIcon = "Clothes\MythicDawnrobe\hood.dds"
	FBModel = "Clothes\MythicDawnrobe\Hood.NIF"
	FWModel = "Clothes\MythicDawnrobe\hood_gnd.NIF"
	BasePrice = 10
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 3
	BipedParts = Hair
	CustomType = "Hood"
End



#############################################
##     Clothing - Shirts (Upper Body)      ##
#############################################
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\MiddleClass\MCShirtShopkeeper\M\MCShirtShopkeeper.dds"
	FIcon = "Clothes\MiddleClass\MCShirtShopkeeper\F\MCShirtShopkeeper.dds"
	MBModel = "Clothes\MiddleClass\MCShirtShopkeeper\M\Shirt.NIF"
	MWModel = "Clothes\MiddleClass\MCShirtShopkeeper\M\Shirt_gnd.NIF"
	FBModel = "Clothes\MiddleClass\MCShirtShopkeeper\F\Shirt.NIF"
	FWModel = "Clothes\MiddleClass\MCShirtShopkeeper\F\Shirt_gnd.NIF"
	BasePrice = 10
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\LowerClass\12\M\Shirt12M.dds"
	FIcon = "Clothes\LowerClass\12\F\Shirt12F.dds"
	MBModel = "Clothes\LowerClass\12\M\shirt.NIF"
	MWModel = "Clothes\LowerClass\12\M\shirt_gnd.NIF"
	FBModel = "Clothes\LowerClass\12\F\shirt.NIF"
	FWModel = "Clothes\LowerClass\12\F\shirt_gnd.NIF"
	BasePrice = 1
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\MiddleClass\MCShirtSuspender\M\MCShirtSuspender.dds"
	FIcon = "Clothes\MiddleClass\MCShirtSuspender\F\MCShirtSuspender.dds"
	MBModel = "Clothes\MiddleClass\MCShirtSuspenders\M\Shirt.NIF"
	MWModel = "Clothes\MiddleClass\MCShirtSuspenders\M\Shirt_gnd.NIF"
	FBModel = "Clothes\MiddleClass\MCShirtSuspenders\F\Shirt.NIF"
	FWModel = "Clothes\MiddleClass\MCShirtSuspenders\F\Shirt_gnd.NIF"
	BasePrice = 10
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\UpperClass\UCShirtHighway\Shirt.dds"
	FIcon = "Clothes\UpperClass\UCShirtHighway\Shirt.dds"
	MBModel = "Clothes\UpperClass\UCShirtHighway\M\Shirt.NIF"
	MWModel = "Clothes\UpperClass\UCShirtHighway\M\Shirt_gnd.NIF"
	FBModel = "Clothes\UpperClass\UCShirtHighway\F\Shirt.NIF"
	FWModel = "Clothes\UpperClass\UCShirtHighway\M\Shirt_gnd.NIF"
	BasePrice = 20
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1.5
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	Material = "Silk"
	MIcon = "Clothes\UpperClass\UCCountCountess\M\Shirt.dds"
	FIcon = "Clothes\UpperClass\UCCountCountess\F\Shirt.dds"
	MBModel = "Clothes\UpperClass\UCCountCountess\M\Shirt.NIF"
	MWModel = "Clothes\UpperClass\UCCountCountess\M\Shirt_gnd.NIF"
	FBModel = "Clothes\UpperClass\UCCountCountess\F\Shirt.NIF"
	FWModel = "Clothes\UpperClass\UCCountCountess\F\Shirt_gnd.NIF"
	BasePrice = 20
	ItemLevel = 21
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1.5
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\LowerClass\LCShirtBeggar\M\LCShirtBeggar.dds"
	FIcon = "Clothes\LowerClass\LCShirtBeggar\M\LCShirtBeggar.dds"
	MBModel = "Clothes\LowerClass\LCBeggar\M\Shirt.NIF"
	MWModel = "Clothes\LowerClass\LCBeggar\M\Shirt_gnd.NIF"
	FBModel = "Clothes\LowerClass\LCBeggar\F\Shirt.NIF"
	FWModel = "Clothes\LowerClass\LCBeggar\F\Shirt_gnd.NIF"
	BasePrice = 1
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\MiddleClass\MCShirtSneaky\M\MCShirtSneaky.dds"
	FIcon = "Clothes\MiddleClass\MCShirtSneaky\M\MCShirtSneaky.dds"
	MBModel = "Clothes\MiddleClass\MCShirtSneaky\M\Shirt.NIF"
	MWModel = "Clothes\MiddleClass\MCShirtSneaky\M\Shirt_gnd.NIF"
	FBModel = "Clothes\MiddleClass\MCShirtSneaky\F\Shirt.NIF"
	FWModel = "Clothes\MiddleClass\MCShirtSneaky\F\Shirt_gnd.NIF"
	BasePrice = 10
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\MiddleClass\MCShirtForester\M\MCShirtForester.dds"
	FIcon = "Clothes\MiddleClass\MCShirtForester\M\MCShirtForester.dds"
	MBModel = "Clothes\MiddleClass\MCShirtForester\M\Shirt.NIF"
	MWModel = "Clothes\MiddleClass\MCShirtForester\M\Shirt_gnd.NIF"
	FBModel = "Clothes\MiddleClass\MCShirtForester\F\Shirt.NIF"
	FWModel = "Clothes\MiddleClass\MCShirtForester\F\Shirt_gnd.NIF"
	BasePrice = 10
	ItemLevel = 11
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	BipedParts = Upper Body
	CustomType = "Shirt"
End
Item
	ItemType = Clothing
	Name = "Shirt"
	MIcon = "Clothes\MiddleClass\MCShirtHobbit\M\MCShirtHobbit.dds"
	FIcon = "Clothes\MiddleClass\MCShirtHobbit\M\MCShirtHobbit.dds"
	MBModel = "Clothes\MiddleClass\MCShirtHobbit\M\Shirt.NIF"
	MWModel = "Clothes\MiddleClass\MCShirtHobbit\M\Shirt_gnd.NIF"
	FBModel = "Clothes\MiddleClass\MCShirtHobbit\F\Shirt.NIF"
	FWModel = "Clothes\MiddleClass\MCShirtHobbit\F\Shirt_gnd.NIF"
	BasePrice = 10
