#############################################
##     Prefixes - Item Weight (Mundane)    ##
#############################################
Prefix
	Name = Cumbersome
	EffectType = Weight
	ItemLevel = 9
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = -233
	MaxQuality = -233
	Multiplier = -1
	MinEffect = 25
	MaxEffect = 25
End
Prefix
	Name = Hefty
	EffectType = Weight
	ItemLevel = 7
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = -204
	MaxQuality = -204
	Multiplier = -1
	MinEffect = 20
	MaxEffect = 20
End
Prefix
	Name = Bulky
	EffectType = Weight
	ItemLevel = 5
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = -174
	MaxQuality = -174
	Multiplier = -1
	MinEffect = 15
	MaxEffect = 15
End
Prefix
	Name = Awkward
	EffectType = Weight
	ItemLevel = 3
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = -144
	MaxQuality = -144
	Multiplier = -1
	MinEffect = 10
	MaxEffect = 10
End
Prefix
	Name = Light
	EffectType = Weight
	ItemLevel = 5
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 184
	MaxQuality = 184
	Multiplier = 1
	MinEffect = -5
	MaxEffect = -5
End
1Prefix
	Name = Lightweight
	EffectType = Weight
	ItemLevel = 9
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 251
	MaxQuality = 251
	Multiplier = 1
	MinEffect = -8
	MaxEffect = -8
End
Prefix
	Name = Lithe
	EffectType = Weight
	ItemLevel = 13
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 318
	MaxQuality = 318
	Multiplier = 1
	MinEffect = -11
	MaxEffect = -11
End
Prefix
	Name = Featherweight
	EffectType = Weight
	ItemLevel = 17
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 386
	MaxQuality = 386
	Multiplier = 1
	MinEffect = -14
	MaxEffect = -14
End
Prefix
	Name = Insubstantial
	EffectType = Weight
	ItemLevel = 21
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 453
	MaxQuality = 453
	Multiplier = 1
	MinEffect = -17
	MaxEffect = -17
End
Prefix
	Name = Immaterial
	EffectType = Weight
	ItemLevel = 25
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 520
	MaxQuality = 520
	Multiplier = 1
	MinEffect = -20
	MaxEffect = -20
End
Prefix
	Name = Weightless
	EffectType = Weight
	ItemLevel = 30
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 604
	MaxQuality = 604
	Multiplier = 1
	MinEffect = -25
	MaxEffect = -25
End
Prefix
	Name = Intangible
	EffectType = Weight
	ItemLevel = 35
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 688
	MaxQuality = 688
	Multiplier = 1
	MinEffect = -30
	MaxEffect = -30
End
Prefix
	Name = Ethereal
	EffectType = Weight
	ItemLevel = 40
	CustomTypes = L Helmet | H Helmet |L Cuirass | H Cuirass | L Gauntlets | H Gauntlets | L Greaves | H Greaves | L Boots | H Boots | L Shield | H Shield Dagger | Shortsword | Longsword | Katana | Claymore | Dai-Katana | Mace | Warhammer | Battle Axe | War Axe | Staff | Bow | Robe | Outfit
	MinQuality = 772
	MaxQuality = 772
	Multiplier = 1
	MinEffect = -35
	MaxEffect = -35
End



#############################################
##     Prefixes - Item Value (Mundane)     ##
#############################################
Prefix
	Name = Crude
	EffectType = Value
	ItemLevel = 9
	ItemMask = All
	MinQuality = 0
	MaxQuality = 0
	Multiplier = 1
	MinEffect = -40
	MaxEffect = -40
End
Prefix
	Name = Low Quality
	EffectType = Value
	ItemLevel = 7
	ItemMask = All
	MinQuality = 0
	MaxQuality = 0
	Multiplier = 1
	MinEffect = -35
	MaxEffect = -35
End
Prefix
	Name = Blemished
	EffectType = Value
