Item
	ItemType = Armor
	Name = "Shield"
	Material = "Iron"
	MIcon = "Armor\Iron\Shield.dds"
	MBModel = "Armor\Iron\Shield.NIF"
	MWModel = "Armor\Iron\Shield.NIF"
	FIcon = "Armor\Iron\Shield.dds"
	FBModel = "Armor\Iron\Shield.NIF"
	FWModel = "Armor\Iron\Shield.NIF"
	BasePrice = 45
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 13
	Armor = 1200
	ArmorType = "Heavy"
	Health = 650
	BipedParts = Shield
	CustomType = "H Shield"
End
Item
	ItemType = Armor
	Name = "Shield"
	Material = "Steel"
	MIcon = "Armor\Steel\Shield.dds"
	MBModel = "Armor\Steel\Shield.NIF"
	MWModel = "Armor\Steel\Shield.NIF"
	FIcon = "Armor\Steel\Shield.dds"
	FBModel = "Armor\Steel\Shield.NIF"
	FWModel = "Armor\Steel\Shield.NIF"
	BasePrice = 95
	ItemLevel = 4
	MinEffectLevel = 1
	MaxEffectLevel = 15
	Weight = 12
	Armor = 1400
	ArmorType = "Heavy"
	Health = 725
	BipedParts = Shield
	CustomType = "H Shield"
End
Item
	ItemType = Armor
	Name = "Shield"
	Material = "Dwarven"
	MIcon = "Armor\Dwarven\Shield.dds"
	MBModel = "Armor\Dwarven\Shield.NIF"
	MWModel = "Armor\Dwarven\Shield.NIF"
	FIcon = "Armor\Dwarven\Shield.dds"
	FBModel = "Armor\Dwarven\Shield.NIF"
	FWModel = "Armor\Dwarven\Shield.NIF"
	BasePrice = 210
	ItemLevel = 7
	MinEffectLevel = 1
	MaxEffectLevel = 20
	Weight = 15
	Armor = 1500
	ArmorType = "Heavy"
	Health = 1050
	BipedParts = Shield
	CustomType = "H Shield"
End
Item
	ItemType = Armor
	Name = "Shield"
	Material = "Orcish"
	MIcon = "Armor\Orcish\Shield.dds"
	FIcon = "Armor\Orcish\Shield.dds"
	MBModel = "Armor\Orcish\Shield.NIF"
	MWModel = "Armor\Orcish\Shield.NIF"
	FBModel = "Armor\Orcish\Shield.NIF"
	FWModel = "Armor\Orcish\Shield.NIF"
	BasePrice = 460
	ItemLevel = 11
	MinEffectLevel = 5
	MaxEffectLevel = 25
	Weight = 17
	Armor = 1700
	ArmorType = "Heavy"
	Health = 1100
	BipedParts = Shield
	CustomType = "H Shield"
End



Item
	ItemType = Armor
	Name = "Shield"
	MIcon = "Armor\Noble Plate\nobleShield.dds"
	FIcon = "Armor\Noble Plate\nobleShield.dds"
	MBModel = "Armor\Noble Plate\nobleshield.nif"
	MWModel = "Armor\Noble Plate\nobleshield.nif"
	FBModel = "Armor\Noble Plate\nobleshield.nif"
	FWModel = "Armor\Noble Plate\nobleshield.nif"
	BasePrice = 460
	ItemLevel = 13
	MinEffectLevel = 5
	MaxEffectLevel = 25
	Weight = 15
	Armor = 1800
	ArmorType = "Heavy"
	Health = 1250
	BipedParts = Shield
	CustomType = "H Shield"
End



#############################################
##     More Shields - Skull & Yin-yang     ##
##             Ebony Equivalent            ##
#############################################
Item
	ItemType = Armor
	Name = "Shield"
    # Silver Skull Heavy Shield
	MIcon = "Armor\skull\shield.dds"
	MBModel = "Armor\skull\shield.nif"
	MWModel = "Armor\skull\shield.nif"
	FIcon = "Armor\skull\shield.dds"
	FBModel = "Armor\skull\shield.nif"
	FWModel = "Armor\skull\shield.nif"
	BasePrice = 1000
	ItemLevel = 15
	MinEffectLevel = 10
	MaxEffectLevel = 35
	Weight = 20
	Armor = 1900
	ArmorType = "Heavy"
	Health = 1425
	BipedParts = Shield
	CustomType = "H Shield"
End
Item
	ItemType = Armor
	Name = "Shield"
    # Yin-Yang Heavy Shield
	MIcon = "Armor\yin-yangshi\shield.dds"
	MBModel = "Armor\yin-yangshi\shield.nif"
	MWModel = "Armor\yin-yangshi\shield.nif"
	FIcon = "Armor\yin-yangshi\shield.dds"
	FBModel = "Armor\yin-yangshi\shield.nif"
	FWModel = "Armor\yin-yangshi\shield.nif"
	BasePrice = 1000
	ItemLevel = 15
	MinEffectLevel = 10
	MaxEffectLevel = 35
	Weight = 20
	Armor = 1900
	ArmorType = "Heavy"
	Health = 1425
	BipedParts = Shield
	CustomType = "H Shield"
End
Item
	ItemType = Armor
	Name = "Shield"
	Material = "Ebony"
	MIcon = "Armor\Ebony\Shield.dds"
	MBModel = "Armor\Ebony\Shield.NIF"
