#############################################
##     Armor - Fur                         ##
#############################################
Item
	ItemType = Armor
	Name = "Helmet"
	Material = "Fur"
	MIcon = "Armor\Fur\M\Helmet.dds"
	FIcon = "Armor\Fur\F\Helmet.dds"
	MBModel = "Armor\Fur\M\Helmet.NIF"
	MWModel = "Armor\Fur\M\Helmet_gnd.NIF"
	FBModel = "Armor\Fur\F\Helmet.NIF"
	FWModel = "Armor\Fur\F\Helmet_gnd.NIF"
	BasePrice = 4
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 1
	Armor = 200
	ArmorType = "Light"
	Health = 125
	BipedParts = Hair
	CustomType = "L Helmet"
End
Item
	ItemType = Armor
	Name = "Cuirass"
	Material = "Fur"
	MIcon = "Armor\Fur\M\Cuirass.dds"
	FIcon = "Armor\Fur\F\Cuirass.dds"
	MBModel = "Armor\Fur\M\Cuirass.NIF"
	MWModel = "Armor\Fur\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Fur\F\Cuirass.NIF"
	FWModel = "Armor\Fur\F\Cuirass_gnd.NIF"
	BasePrice = 15
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 3
	Armor = 500
	ArmorType = "Light"
	Health = 250
	BipedParts = Upper Body
	CustomType = "L Cuirass"
End
Item
	ItemType = Armor
	Name = "Gauntlets"
	Material = "Fur"
	MIcon = "Armor\Fur\M\Gauntlets.dds"
	FIcon = "Armor\Fur\F\Gauntlets.dds"
	MBModel = "Armor\Fur\M\Gauntlets.NIF"
	MWModel = "Armor\Fur\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Fur\F\Gauntlets.NIF"
	FWModel = "Armor\Fur\M\Gauntlets_gnd.NIF"
	BasePrice = 4
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 1
	Armor = 200
	ArmorType = "Light"
	Health = 125
	BipedParts = Hand
	CustomType = "L Gauntlets"
End
Item
	ItemType = Armor
	Name = "Greaves"
	Material = "Fur"
	MIcon = "Armor\Fur\M\Greaves.dds"
	FIcon = "Armor\Fur\F\Greaves.dds"
	MBModel = "Armor\Fur\M\Greaves.NIF"
	MWModel = "Armor\Fur\M\Greaves_gnd.NIF"
	FBModel = "Armor\Fur\F\Greaves.NIF"
	FWModel = "Armor\Fur\M\Greaves_gnd.NIF"
	BasePrice = 8
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 2
	Armor = 300
	ArmorType = "Light"
	Health = 150
	BipedParts = Lower Body
	CustomType = "L Greaves"
End
Item
	ItemType = Armor
	Name = "Boots"
	Material = "Fur"
	MIcon = "Armor\Fur\M\Boots.dds"
	FIcon = "Armor\Fur\F\Boots.dds"
	MBModel = "Armor\Fur\M\Boots.NIF"
	MWModel = "Armor\Fur\M\Boots_gnd.NIF"
	FBModel = "Armor\Fur\F\Boots.NIF"
	FWModel = "Armor\Fur\M\Boots_gnd.NIF"
	BasePrice = 4
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 10
	Weight = 1
	Armor = 200
	ArmorType = "Light"
	Health = 150
	BipedParts = Foot
	CustomType = "L Boots"
End



#############################################
##     Armor - Leather                     ##
#############################################
Item
	ItemType = Armor
	Name = "Helmet"
	Material = "Leather"
	MIcon = "Armor\Thief\M\Helmet.dds"
	FIcon = "Armor\Thief\M\Helmet.dds"
	MBModel = "Armor\Thief\Helmet.NIF"
	MWModel = "Armor\Thief\Helmet_gnd.NIF"
	FBModel = "Armor\Thief\Helmet.NIF"
	FWModel = "Armor\Thief\Helmet_gnd.NIF"
	BasePrice = 10
	ItemLevel = 4
	MinEffectLevel = 1
	MaxEffectLevel = 15
	Weight = 2
	Armor = 300
	ArmorType = "Light"
	Health = 150
	BipedParts = Hair
	CustomType = "L Helmet"
End
Item
	ItemType = Armor
	Name = "Cuirass"
	Material = "Leather"
	MIcon = "Armor\Thief\M\Cuirass.dds"
	FIcon = "Armor\Thief\F\Cuirass.dds"
