######################################################
Item
	ItemType = Light
	Name = "Glowing Ashenwood Staff"
	Icon = "armor\defensivestaves\staffwood.dds"
	Model = "armor\defensivestaves\ashenstaff.nif"
	BasePrice = 150
	ItemLevel = 5
	Weight = 5
	Color = B87B45
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Black Staff"
	Icon = "armor\defensivestaves\staffball.dds"
	Model = "armor\defensivestaves\solidwoodstaffblack.nif"
	BasePrice = 150
	ItemLevel = 7
	Weight = 5
	Color = C0C0C0
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
	Sound = "UIArmorWeaponRepairBreak"
End
Item
	ItemType = Light
	Name = "Glowing Wooden Staff"
	Icon = "armor\defensivestaves\staffball.dds"
	Model = "armor\defensivestaves\solidwoodstaffbrown.nif"
	BasePrice = 150
	ItemLevel = 7
	Weight = 5
	Color = FF4F53
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Daedric Staff"
	Icon = "armor\defensivestaves\staffdaedric.dds"
	Model = "armor\defensivestaves\daedricstaff.nif"
	BasePrice = 250
	ItemLevel = 22
	Weight = 5
	Color = 800000
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Dwarven Staff"
	Icon = "armor\defensivestaves\staffforked.dds"
	Model = "armor\defensivestaves\dwarvenstaff.nif"
	BasePrice = 150
	ItemLevel = 7
	Weight = 5
	Color = FFFF00
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Ebony Staff"
	Icon = "armor\defensivestaves\staffball.dds"
	Model = "armor\defensivestaves\ebonystaff.nif"
	BasePrice = 150
	ItemLevel = 18
	Weight = 5
	Color = C4AF39
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Elven Staff"
	Icon = "armor\defensivestaves\staffelven.dds"
	Model = "armor\defensivestaves\elvenstaff.nif"
	BasePrice = 150
	ItemLevel = 10
	Weight = 5
	Color = BAEB12
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Glass Staff"
	Icon = "armor\defensivestaves\staffglass.dds"
	Model = "armor\defensivestaves\glassstaff.nif"
	BasePrice = 150
	ItemLevel = 14
	Weight = 5
	Color = 6AFF6A
	Falloff = 1
	FOV = 1.0
	Time = -1
	Radius = 1024
	Fade = 1.0
	Type = Pulse
	Dynamic = true
	Negative = false
	DefaultOff = false
	SpotLight = false
	SpotShadow = false
	CustomType = "Light"
End
Item
	ItemType = Light
	Name = "Glowing Oaken Staff"
	Icon = "armor\defensivestaves\staffwood.dds"
	Model = "armor\defensivestaves\oakenstaff.nif"
