Item
	ItemType = Misc
	Name = "Metal Urn"
	Icon = "Clutter\MiddleClass\IconMiddleMetalUrn01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalUrm02.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Urn"
End
Item
	ItemType = Misc
	Name = "Metal Urn"
	Icon = "Clutter\MiddleClass\IconMiddleMetalUrn01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalUrm01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Urn"
End
Item
	ItemType = Misc
	Name = "Metal Urn"
	Icon = "Clutter\MiddleClass\IconMiddleMetalUrn01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalUrm02.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Urn"
End
Item
	ItemType = Misc
	Name = "Metal Urn"
	Icon = "Clutter\MiddleClass\IconMiddleMetalUrn01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalUrm01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Urn"
End
Item
	ItemType = Misc
	Name = "Metal Tankard"
	Icon = "Clutter\MiddleClass\IconMiddleMetalTankard03.dds"
	Model = "Clutter\MiddleClass\MiddleMetalTankard05.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Tankard"
End
Item
	ItemType = Misc
	Name = "Metal Tankard"
	Icon = "Clutter\MiddleClass\IconMiddleMetalTankard01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalTankard04.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Tankard"
End
Item
	ItemType = Misc
	Name = "Metal Tankard"
	Icon = "Clutter\MiddleClass\IconMiddleMetalTankard01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalTankard03.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	CustomType = "Tankard"
End
Item
	ItemType = Misc
	Name = "Metal Tankard"
	Icon = "Clutter\MiddleClass\IconMiddleMetalTankard02.dds"
	Model = "Clutter\MiddleClass\MiddleMetalTankard02.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Tankard"
End
Item
	ItemType = Misc
	Name = "Metal Tankard"
	Icon = "Clutter\MiddleClass\IconMiddleMetalTankard01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalTankard01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Tankard"
End
Item
	ItemType = Misc
	Name = "Metal Plate"
	Icon = "Clutter\MiddleClass\IconMiddleMetalPlate01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalPlate01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Plate"
End
Item
	ItemType = Misc
	Name = "Metal Goblet"
	Icon = "Clutter\MiddleClass\IconMiddleMetalGoblet01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalGoblet01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Goblet"
End
Item
	ItemType = Misc
	Name = "Metal Bowl"
	Icon = "Clutter\MiddleClass\IconMiddleMetalBowl01.dds"
	Model = "Clutter\MiddleClass\MiddleMetalBowl01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 1
	CustomType = "Bowl"
End
Item
	ItemType = Misc
	Name = "Vase"
	Material = "Silver"
	Icon = "Clutter\Upper\IconUpperUrn03.dds"
	Model = "Clutter\UpperClass\UpperSilverVase01.NIF"
	BasePrice = 3
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 2
	CustomType = "Vase"
End
Item
	ItemType = Misc
	Name = "Statuette"
	Material = "Dog"
	Icon = "Clutter\IconDAClavicusDogStatue.dds"
	Model = "Clutter\DAClavicusDogStatue.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	CustomType = "Statue"
End
Item
	ItemType = Misc
	Name = "Tan Bowl"
	Icon = "Clutter\MiddleClass\IconMiddleCoveredBowlTan01.dds"
	Model = "Clutter\MiddleClass\MiddleCoveredBowlTan01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Bowl"
End
Item
	ItemType = Misc
	Name = "Red Bowl"
	Icon = "Clutter\MiddleClass\IconMiddleCoveredBowlRed01.dds"
	Model = "Clutter\MiddleClass\MiddleCoveredBowlRed01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0.5
	CustomType = "Bowl"
End
Item
	ItemType = Misc
	Name = "Pickaxe"
	Icon = "Clutter\IconPickaxe.dds"
	Model = "Clutter\Farm\Pickaxe01dirty.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 6
	CustomType = "Pickaxe"
End
Item
	ItemType = Misc
	Name = "Flowers"
	Material = "Bouquet of"
	Icon = "Clutter\IconBoutique01.dds"
	Model = "Clutter\FlowerBouquet01.NIF"
	BasePrice = 0
	ItemLevel = 1
	MinEffectLevel = 1
	MaxEffectLevel = 50
	Weight = 0
	CustomType = "Flowers"
End
Item
	ItemType = Misc
	Name = "Lion Pelt"
	Icon = "Clutter\IconLionHide.dds"
	Model = "Clutter\LionHide.NIF"
	BasePrice = 10
