###################################
##         Simple Sigils         ##
###################################
Item
	ItemType = Sigil
	Name = "Simple Geode-set Sigil"
	BasePrice = 100
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 1
	MaxEffectLevel = 20
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Zircon-set Sigil"
	BasePrice = 115
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 1
	MaxEffectLevel = 20
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Tourmaline-set Sigil"
	BasePrice = 130
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 1
	MaxEffectLevel = 20
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Jasper-inset Sigil"
	BasePrice = 145
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 1
	MaxEffectLevel = 25
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Agate-inlaid Sigil"
	BasePrice = 160
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 5
	MaxEffectLevel = 25
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Aquamarine-set Sigil"
	BasePrice = 175
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 5
	MaxEffectLevel = 25
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Turquoise-set Sigil"
	BasePrice = 195
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 5
	MaxEffectLevel = 30
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Amethyst-set Sigil"
	BasePrice = 215
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 10
	MaxEffectLevel = 30
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Garnet-set Sigil"
	BasePrice = 235
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 10
	MaxEffectLevel = 30
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Topaz-inset Sigil"
	BasePrice = 255
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 10
	MaxEffectLevel = 35
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Starstone-set Sigil"
	BasePrice = 275
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 15
	MaxEffectLevel = 35
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Moonstone-set Sigil"
	BasePrice = 295
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 15
	MaxEffectLevel = 35
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Sunstone-set Sigil"
	BasePrice = 320
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 15
	MaxEffectLevel = 40
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Dreamstone-set Sigil"
	BasePrice = 355
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 20
	MaxEffectLevel = 40
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Opal-inset Sigil"
	BasePrice = 380
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 20
	MaxEffectLevel = 40
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Pearl-inlaid Sigil"
	BasePrice = 405
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 20
	MaxEffectLevel = 45
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Emerald-set Sigil"
	BasePrice = 430
	ItemLevel = 1
	Weight = 1
	Uses = 170
	CustomType = Sigil
	MinEffectLevel = 25
	MaxEffectLevel = 45
	EffectMask = Enchant
End
Item
	ItemType = Sigil
	Name = "Simple Sapphire-set Sigil"
	BasePrice = 455
	ItemLevel = 1
	Weight = 1
	Uses = 170
