##########################################
##       Level List File Definitions
##########################################
##
##   Levels 01-05
##
##   0105
##
##   MinLevel = 1
##
##   MaxLevel = 5
##
##########################################
##
##   MaxRecords = 128
##
##   ResetLevels = true
##
##########################################


##########################################
## ALL SI ITEMS, Levels 01-05
LevelList
	Name = siAllItems0105
	Parent = NULL
	Empty = true
	MaxRecords = 1024
End


##########################################
##   TOPRANGE GROUP DEFINITIONS         ##
##########################################
## All Weapons, Levels 01-05
LevelList
	Name = siAllWeapons0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Armor, Levels 01-05
LevelList
	Name = siAllArmor0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Apparel, Levels 01-05
LevelList
	Name = siAllApparel0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Sigils, Levels 01-05
LevelList
	Name = siAllSigils0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Gems, Levels 01-05
LevelList
	Name = siAllGems0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Uniques, Levels 01-05
LevelList
	Name = siAllUniques0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End
## All Scrolls, Levels 01-05
LevelList
	Name = siAllScrolls0105
	Parent = siAllItems0105
	Empty = true
	MaxRecords = 1024
End


##########################################
##  MIDRANGE GROUP DEFINITIONS          ##
##########################################
## 1H Edged Weapons, Levels 01-05
LevelList
	Name = si1HEdgedWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End
## 2H Edged Weapons, Levels 01-05
LevelList
	Name = si2HEdgedWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End
## 1H Blunt Weapons, Levels 01-05
LevelList
	Name = si1HBluntWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End
## 2H Blunt Weapons, Levels 01-05
LevelList
	Name = si2HBluntWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Staff Weapons, Levels 01-05
LevelList
	Name = siStaffWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Bow Weapons, Levels 01-05
LevelList
	Name = siBowWeapons0105
	Parent = siAllWeapons0105
	Empty = true
	MaxRecords = 1024
End

##########################################
## Light Armor, Levels 01-05
LevelList
	Name = siLightArmor0105
	Parent = siAllArmor0105
	Empty = true
	MaxRecords = 1024
End
## Heavy Armor, Levels 01-05
LevelList
	Name = siHeavyArmor0105
	Parent = siAllArmor0105
	Empty = true
	MaxRecords = 1024
End

##########################################
## Headwear, Levels 01-05
LevelList
	Name = siHeadwear0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Tops, Levels 01-05
LevelList
	Name = siTops0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Bottoms, Levels 01-05
LevelList
	Name = siBottoms0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Clothes, Levels 01-05
LevelList
	Name = siClothes0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Handwear, Levels 01-05
LevelList
	Name = siHandwear0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Footwear, Levels 01-05
LevelList
	Name = siFootwear0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End
## Jewelry, Levels 01-05
LevelList
	Name = siJewelry0105
	Parent = siAllApparel0105
	Empty = true
	MaxRecords = 1024
End


##########################################
##     ITEM GROUP DEFINITIONS           ##
##########################################
## Daggers, Levels 01-05
LevelList
	Name = siDaggers0105
	Parent = si1HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Shortswords, Levels 01-05
LevelList
	Name = siShortswords0105
	Parent = si1HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Longswords, Levels 01-05
LevelList
	Name = siLongswords0105
	Parent = si1HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Katanas, Levels 01-05
LevelList
	Name = siKatanas0105
	Parent = si1HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Claymores, Levels 01-05
LevelList
	Name = siClaymores0105
	Parent = si2HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Dai-Katanas, Levels 01-05
LevelList
	Name = siDaiKatanas0105
	Parent = si2HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Scythes, Levels 01-05
LevelList
	Name = siScythes0105
	Parent = si2HEdgedWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Maces, Levels 01-05
LevelList
	Name = siMaces0105
	Parent = si1HBluntWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Warhammers, Levels 01-05
LevelList
	Name = siWarhammers0105
	Parent = si2HBluntWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Battle-Axes, Levels 01-05
LevelList
	Name = siBattleAxes0105
	Parent = si2HBluntWeapons0105
	Empty = true
	MaxRecords = 1024
End
## War-Axes, Levels 01-05
LevelList
	Name = siWarAxes0105
	Parent = si1HBluntWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Staffs, Levels 01-05
LevelList
	Name = siStaffs0105
	Parent = siStaffWeapons0105
	Empty = true
	MaxRecords = 1024
End
## Bows, Levels 01-05
LevelList
	Name = siBows0105
	Parent = siBowWeapons0105
	Empty = true
	MaxRecords = 1024
End

##########################################
## Light Armor Helmets, Levels 01-05
LevelList
	Name = siLightHelmets0105
	Parent = siLightArmor0105
	Empty = true
	MaxRecords = 1024
End
## Light Armor Cuirasses, Levels 01-05
LevelList
	Name = siLightCuirasses0105
	Parent = siLightArmor0105
	Empty = true
	MaxRecords = 1024
End
## Light Armor Gauntlets, Levels 01-05
LevelList
