Item
	ItemType = Armor
	Name = "Daedric Gauntlets"
	MIcon = "Armor\Daedric\M\Gauntlets.dds"
	MBModel = "Armor\Daedric\M\Gauntlets.NIF"
	MWModel = "Armor\Daedric\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Daedric\F\Gauntlets.NIF"
	BasePrice = 1350
	ItemLevel = 18
	Weight = 12
	Armor = 550
	ArmorType = "Heavy"
	Health = 1000
	BipedParts = Hand
	CustomType = test
End
Item
	ItemType = Armor
	Name = "Dremora Markynaz Greaves"
	MIcon = "Armor\Daedric\M\Greaves.dds"
	FIcon = "Armor\Daedric\F\Greaves.dds"
	MBModel = "Armor\Daedric\M\Greaves.NIF"
	MWModel = "Armor\Daedric\M\Greaves_gnd.NIF"
	FBModel = "Armor\Daedric\F\Greaves.NIF"
	FWModel = "Armor\Daedric\F\Greaves_gnd.NIF"
	BasePrice = 1250
	ItemLevel = 17
	Weight = 36
	Armor = 1000
	ArmorType = "Heavy"
	Health = 1100
	BipedParts = Lower Body
	CustomType = test
End
Item
	ItemType = Armor
	Name = "Dremora Markynaz Cuirass"
	MIcon = "Armor\Daedric\M\Cuirass.dds"
	FIcon = "Armor\Daedric\F\Cuirass.dds"
	MBModel = "Armor\Daedric\M\Cuirass.NIF"
	MWModel = "Armor\Daedric\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Daedric\F\Cuirass.NIF"
	FWModel = "Armor\Daedric\F\Cuirass_gnd.NIF"
	BasePrice = 2900
	ItemLevel = 26
	Weight = 60
	Armor = 1400
	ArmorType = "Heavy"
	Health = 1500
	BipedParts = Upper Body
	CustomType = test
End
Item
	ItemType = Armor
	Name = "Dremora Markynaz Boots"
	MIcon = "Armor\Daedric\M\Boots.dds"
	MBModel = "Armor\Daedric\M\Boots.NIF"
	MWModel = "Armor\Daedric\M\Boots_gnd.NIF"
	FBModel = "Armor\Daedric\F\Boots.NIF"
	BasePrice = 675
	ItemLevel = 12
	Weight = 18
	Armor = 550
	ArmorType = "Heavy"
	Health = 750
	BipedParts = Foot
	CustomType = test
End
Item
	ItemType = Armor
	Name = "Dremora Kynreeve Shield"
	MIcon = "Armor\Daedric\Shield.dds"
	MBModel = "Armor\Daedric\Shield.NIF"
	MWModel = "Armor\Daedric\Shield.NIF"
	BasePrice = 230
	ItemLevel = 7
	Weight = 24
	Armor = 1500
	ArmorType = "Heavy"
	Health = 750
	BipedParts = Shield
End
Item
	ItemType = Armor
	Name = "Dremora Kynreeve Helmet"
	MIcon = "Armor\Daedric\M\Helmet.dds"
	FIcon = "Armor\Daedric\F\Helmet.dds"
	MBModel = "Armor\Daedric\M\Helmet.NIF"
	MWModel = "Armor\Daedric\M\Helmet_gnd.NIF"
	FBModel = "Armor\Daedric\F\Helmet.NIF"
	FWModel = "Armor\Daedric\F\Helmet_gnd.NIF"
	BasePrice = 60
	ItemLevel = 3
	Weight = 12
	Armor = 500
	ArmorType = "Heavy"
	Health = 500
	BipedParts = Head | Hair
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Shield"
	MIcon = "Armor\Ebony\Shield.dds"
	MBModel = "Armor\Ebony\Shield.NIF"
	MWModel = "Armor\Ebony\Shield.NIF"
	BasePrice = 1000
	ItemLevel = 15
	Weight = 21
	Armor = 1800
	ArmorType = "Heavy"
	Health = 1425
	BipedParts = Shield
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Helmet"
	MIcon = "Armor\Ebony\M\Helmet.dds"
	FIcon = "Armor\Ebony\F\Helmet.dds"
	MBModel = "Armor\Ebony\M\Helmet.NIF"
	MWModel = "Armor\Ebony\M\Helmet_gnd.NIF"
	FBModel = "Armor\Ebony\F\Helmet.NIF"
	FWModel = "Armor\Ebony\F\Helmet_gnd.NIF"
	BasePrice = 550
	ItemLevel = 11
	Weight = 10.5
	Armor = 600
	ArmorType = "Heavy"
	Health = 950
	BipedParts = Hair
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Greaves"
	MIcon = "Armor\Ebony\M\Greaves.dds"
	MBModel = "Armor\Ebony\M\Greaves.NIF"
	MWModel = "Armor\Ebony\M\Greaves_gnd.NIF"
	FBModel = "Armor\Ebony\F\Greaves.NIF"
	BasePrice = 1000
	ItemLevel = 15
	Weight = 31.5
	Armor = 900
	ArmorType = "Heavy"
	Health = 1425
	BipedParts = Lower Body
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Gauntlets"
	MIcon = "Armor\Ebony\M\Gauntlets.dds"
	MBModel = "Armor\Ebony\M\Gauntlets.NIF"
	MWModel = "Armor\Ebony\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Ebony\F\Gauntlets.NIF"
	BasePrice = 550
	ItemLevel = 11
	Weight = 10.5
	Armor = 600
	ArmorType = "Heavy"
	Health = 950
	BipedParts = Hand
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Cuirass"
	MIcon = "Armor\Ebony\M\Cuirass.dds"
	FIcon = "Armor\Ebony\F\Cuirass.dds"
	MBModel = "Armor\Ebony\M\Cuirass.NIF"
	MWModel = "Armor\Ebony\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Ebony\F\Cuirass.NIF"
	FWModel = "Armor\Ebony\F\Cuirass_gnd.NIF"
	BasePrice = 1900
	ItemLevel = 21
	Weight = 52.5
	Armor = 1500
	ArmorType = "Heavy"
	Health = 1900
	BipedParts = Upper Body
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Boots"
	MIcon = "Armor\Ebony\M\Boots.dds"
	FIcon = "Armor\Ebony\F\Boots.dds"
	MBModel = "Armor\Ebony\M\Boots.NIF"
	MWModel = "Armor\Ebony\M\Boots_gnd.NIF"
	FBModel = "Armor\Ebony\F\Boots.NIF"
	FWModel = "Armor\Ebony\F\Boots_gnd.NIF"
	BasePrice = 550
	ItemLevel = 11
	Weight = 15.75
	Armor = 600
	ArmorType = "Heavy"
	Health = 950
	BipedParts = Foot
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Shield"
	MIcon = "Armor\Ebony\Shield.dds"
	MBModel = "Armor\Ebony\Shield.NIF"
	MWModel = "Armor\Ebony\Shield.NIF"
	BasePrice = 460
	ItemLevel = 10
	Weight = 21
	Armor = 1650
	ArmorType = "Heavy"
	Health = 900
	BipedParts = Shield
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Helmet"
	MIcon = "Armor\Ebony\M\Helmet.dds"
	FIcon = "Armor\Ebony\F\Helmet.dds"
	MBModel = "Armor\Ebony\M\Helmet.NIF"
	MWModel = "Armor\Ebony\M\Helmet_gnd.NIF"
	FBModel = "Armor\Ebony\F\Helmet.NIF"
	FWModel = "Armor\Ebony\F\Helmet_gnd.NIF"
	BasePrice = 250
	ItemLevel = 7
	Weight = 10.5
	Armor = 550
	ArmorType = "Heavy"
	Health = 600
	BipedParts = Hair
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Greaves"
	MIcon = "Armor\Ebony\M\Greaves.dds"
	MBModel = "Armor\Ebony\M\Greaves.NIF"
	MWModel = "Armor\Ebony\M\Greaves_gnd.NIF"
	FBModel = "Armor\Ebony\F\Greaves.NIF"
	BasePrice = 460
	ItemLevel = 10
	Weight = 31.5
	Armor = 825
	ArmorType = "Heavy"
	Health = 900
	BipedParts = Lower Body
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Gauntlets"
	MIcon = "Armor\Ebony\M\Gauntlets.dds"
	MBModel = "Armor\Ebony\M\Gauntlets.NIF"
	MWModel = "Armor\Ebony\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Ebony\F\Gauntlets.NIF"
	BasePrice = 250
	ItemLevel = 7
	Weight = 10.5
	Armor = 550
	ArmorType = "Heavy"
	Health = 600
	BipedParts = Hand
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Cuirass"
	MIcon = "Armor\Ebony\M\Cuirass.dds"
	FIcon = "Armor\Ebony\F\Cuirass.dds"
	MBModel = "Armor\Ebony\M\Cuirass.NIF"
	MWModel = "Armor\Ebony\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Ebony\F\Cuirass.NIF"
	FWModel = "Armor\Ebony\F\Cuirass_gnd.NIF"
	BasePrice = 940
	ItemLevel = 15
	Weight = 52.5
	Armor = 1375
	ArmorType = "Heavy"
	Health = 1200
	BipedParts = Upper Body
End
Item
	ItemType = Armor
	Name = "Umbra's Ebony Boots"
	MIcon = "Armor\Ebony\M\Boots.dds"
	FIcon = "Armor\Ebony\F\Boots.dds"
	MBModel = "Armor\Ebony\M\Boots.NIF"
	MWModel = "Armor\Ebony\M\Boots_gnd.NIF"
	FBModel = "Armor\Ebony\F\Boots.NIF"
	FWModel = "Armor\Ebony\F\Boots_gnd.NIF"
	BasePrice = 250
	ItemLevel = 7
	Weight = 15.75
	Armor = 550
	ArmorType = "Heavy"
	Health = 600
	BipedParts = Foot
End
Item
	ItemType = Armor
	Name = "Pit Helmet"
	MIcon = "Armor\Leather\M\Helmet.dds"
	MBModel = "Armor\Leather\M\Helmet.NIF"
	MWModel = "Armor\Leather\M\Helmet_gnd.NIF"
	BasePrice = 0
	ItemLevel = 1
	Weight = 0
	Armor = 0
	ArmorType = "Light"
	Health = 0
	BipedParts = Hair
End
Item
	ItemType = Armor
	Name = "Pit Gauntlets"
	MIcon = "Armor\Leather\M\Gauntlets.dds"
	MBModel = "Armor\Leather\M\Gauntlets.NIF"
	MWModel = "Armor\Leather\M\Gauntlets_gnd.NIF"
	FBModel = "Armor\Leather\F\Gauntlets.NIF"
	BasePrice = 0
	ItemLevel = 1
	Weight = 0
	Armor = 0
	ArmorType = "Light"
	Health = 0
	BipedParts = Hand
End
Item
	ItemType = Armor
	Name = "Pit Boots"
	MIcon = "Armor\Leather\M\Boots.dds"
	MBModel = "Armor\Leather\M\Boots.NIF"
	MWModel = "Armor\Leather\M\Boots_gnd.NIF"
	FBModel = "Armor\Leather\F\Boots.NIF"
	BasePrice = 0
	ItemLevel = 1
	Weight = 0
	Armor = 0
	ArmorType = "Light"
	Health = 0
	BipedParts = Foot
End
Item
	ItemType = Armor
	Name = "Pit Greaves"
	MIcon = "Armor\Leather\M\Greaves.dds"
	MBModel = "Armor\Leather\M\Greaves.NIF"
	MWModel = "Armor\Leather\M\Greaves_gnd.NIF"
	FBModel = "Armor\Leather\F\Greaves.NIF"
	BasePrice = 0
	ItemLevel = 1
	Weight = 0
	Armor = 0
	ArmorType = "Light"
	Health = 0
	BipedParts = Lower Body
End
Item
	ItemType = Armor
	Name = "Pit Cuirass"
	MIcon = "Armor\Leather\M\Cuirass.dds"
	FIcon = "Armor\Leather\F\Cuirass.dds"
	MBModel = "Armor\Leather\M\Cuirass.NIF"
	MWModel = "Armor\Leather\M\Cuirass_gnd.NIF"
	FBModel = "Armor\Leather\F\Cuirass.NIF"
	FWModel = "Armor\Leather\F\Cuirass_gnd.NIF"
	BasePrice = 0
	ItemLevel = 1
	Weight = 0
	Armor = 0
	ArmorType = "Light"
	Health = 0
	BipedParts = Upper Body
End
Item
	ItemType = Armor
	Name = "Elven Boots"
	MIcon = "Armor\Elven\Boots.dds"
	FIcon = "Armor\Elven\Boots.dds"
	MBModel = "Armor\Elven\M\Boots.NIF"
	MWModel = "Armor\Elven\M\Boots_gnd.NIF"
	FBModel = "Armor\Elven\F\Boots.NIF"
	FWModel = "Armor\Elven\F\Boots_gnd.NIF"
	BasePrice = 170
	ItemLevel = 6
	Weight = 3.9
	Armor = 400
	ArmorType = "Light"
	Health = 350
	BipedParts = Foot
End
Item
	ItemType = Armor
	Name = "Elven Helmet"
	MIcon = "Armor\Elven\Helmet.dds"
	FIcon = "Armor\Elven\Helmet.dds"
	MBModel = "Armor\Elven\Helmet.NIF"
	MWModel = "Armor\Elven\Helmet_gnd.NIF"
	FBModel = "Armor\Elven\Helmet.NIF"
	FWModel = "Armor\Elven\Helmet_gnd.NIF"
	BasePrice = 170
	ItemLevel = 6
	Weight = 2.6
	Armor = 400
	ArmorType = "Light"
	Health = 350
	BipedParts = Hair
End
Item
	ItemType = Armor
	Name = "Elven Greaves"
	MIcon = "Armor\Elven\Greaves.dds"
	MBModel = "Armor\Elven\M\Greaves.NIF"
	MWModel = "Armor\Elven\M\Greaves_gnd.NIF"
	FBModel = "Armor\Elven\F\Greaves.NIF"
	BasePrice = 315
	ItemLevel = 8
	Weight = 7.8
	Armor = 600
	ArmorType = "Light"
