
#############################################
##     Weapons - Dremora                   ##
#############################################
Item
	ItemType = Weapon
	Name = "Bow"
	Material = "Dremora"
	Icon = "Weapons\DaedricBow.dds"
	Model = "Weapons\Daedric\Bow.NIF"
	BasePrice = 28
	ItemLevel = 2
	Weight = 22
	EnchantPoints = 0
	Type = "Bow"
	Reach = 0
	Speed = 1
	Health = 80
	Damage = 10
	IgnoreResist = true
	CustomType = "Bow"
End
Item
	ItemType = Weapon
	Name = "Claymore"
	Material = "Dremora"
	Icon = "Weapons\DaedricClaymore.dds"
	Model = "Weapons\Daedric\Claymore.NIF"
	BasePrice = 575
	ItemLevel = 11
	Weight = 62
	EnchantPoints = 0
	Type = "Blade Two Hand"
	Reach = 1.3
	Speed = 0.8
	Health = 340
	Damage = 22
	IgnoreResist = true
	CustomType = "Claymore"
End
Item
	ItemType = Weapon
	Name = "Longsword"
	Material = "Dremora"
	Icon = "Weapons\DaedricLongsword.dds"
	Model = "Weapons\Daedric\LongSword.NIF"
	BasePrice = 100
	ItemLevel = 5
	Weight = 48
	EnchantPoints = 0
	Type = "Blade One Hand"
	Reach = 1
	Speed = 1
	Health = 150
	Damage = 16
	IgnoreResist = true
	CustomType = "Longsword"
End
Item
	ItemType = Weapon
	Name = "Mace"
	Material = "Dremora"
	Icon = "Weapons\DaedricMace.dds"
	Model = "Weapons\Daedric\Mace.NIF"
	BasePrice = 40
	ItemLevel = 3
	Weight = 43
	EnchantPoints = 0
	Type = "Blunt Two Hand"
	Reach = 1
	Speed = 0.9
	Health = 100
	Damage = 12
	IgnoreResist = true
	CustomType = "Mace"
End



#############################################
##     Weapons - Daedric                   ##
#############################################
Item
	ItemType = Weapon
	Name = "Bow"
	Material = "Daedric"
	Icon = "Weapons\DaedricBow.dds"
	Model = "Weapons\Daedric\Bow.NIF"
	BasePrice = 3200
	ItemLevel = 28
	Weight = 22
	EnchantPoints = 0
	Type = "Bow"
	Reach = 0
	Speed = 1
	Health = 420
	Damage = 20
	IgnoreResist = true
	CustomType = "Bow"
End
Item
	ItemType = Weapon
	Name = "Longsword"
	Material = "Daedric"
	Icon = "Weapons\DaedricLongsword.dds"
	Model = "Weapons\Daedric\LongSword.NIF"
	BasePrice = 3100
	ItemLevel = 27
	Weight = 48
	EnchantPoints = 0
	Type = "Blade One Hand"
	Reach = 1
	Speed = 1
	Health = 672
